sg_uf,cd_municipio_ibge,nome_municipio.x,sg_partido_prefeito,icat_prefeito,sg_ue,nome_municipio.y,uf,icat_medio,cat_medio_camara,dist
AM,1301308,CODAJÁS,UNIÃO,15.68,02275,CODAJAS,AM,16.79909090909091,1. péssimo,-1.119090909090911
AM,1303908,SÃO PAULO DE OLIVENÇA,UNIÃO,15.68,02755,SAO PAULO DE OLIVENCA,AM,17.712222222222223,1. péssimo,-2.0322222222222237
AM,1301704,HUMAITÁ,UNIÃO,15.68,02356,HUMAITA,AM,24.424,1. péssimo,-8.744
AM,1304401,URUCURITUBA,PT,73.72,02879,URUCURITUBA,AM,33.60727272727273,2. ruim,40.11272727272727
AM,1301100,CAREIRO,REPUBLICANOS,14.1,02232,CAREIRO,AM,17.105833333333333,1. péssimo,-3.0058333333333334
AM,1300029,ALVARÃES,UNIÃO,15.68,02895,ALVARAES,AM,26.99909090909091,2. ruim,-11.31909090909091
AM,1304203,TEFÉ,UNIÃO,15.68,02810,TEFE,AM,24.547333333333334,1. péssimo,-8.867333333333335
AM,1303106,NOVA OLINDA DO NORTE,MDB,17.41,02658,NOVA OLINDA DO NORTE,AM,16.533,1. péssimo,0.8769999999999989
AM,1301001,CARAUARI,MDB,17.41,02216,CARAUARI,AM,19.61090909090909,1. péssimo,-2.2009090909090894
AM,1300706,BOCA DO ACRE,MDB,17.41,02151,BOCA DO ACRE,AM,25.864166666666666,2. ruim,-8.454166666666666
AM,1300508,BARREIRINHA,UNIÃO,15.68,02119,BARREIRINHA,AM,23.900909090909092,1. péssimo,-8.220909090909092
AM,1300060,AMATURÁ,MDB,17.41,02917,AMATURA,AM,18.62,1. péssimo,-1.2100000000000009
AM,1303809,SÃO GABRIEL DA CACHOEIRA,PT,73.72,02836,SAO GABRIEL DA CACHOEIRA,AM,45.81384615384616,2. ruim,27.906153846153842
AM,1304302,URUCARÁ,UNIÃO,15.68,02852,URUCARA,AM,20.549090909090907,1. péssimo,-4.869090909090907
AM,1301407,EIRUNEPÉ,MDB,17.41,02291,EIRUNEPE,AM,54.06,3. regular,-36.650000000000006
AM,1302801,MARAÃ,UNIÃO,15.68,02593,MARAA,AM,17.445454545454545,1. péssimo,-1.7654545454545456
AM,1303403,PARINTINS,PSD,23.02,02690,PARINTINS,AM,17.883846153846154,1. péssimo,5.136153846153846
AM,1301803,IPIXUNA,PSDB,15.21,02399,IPIXUNA,AM,16.26,1. péssimo,-1.0500000000000007
AP,1600055,SERRA DO NAVIO,MDB,17.41,06106,SERRA DO NAVIO,AP,25.293333333333333,2. ruim,-7.883333333333333
AP,1600212,CUTIAS,PL,7.85,06068,CUTIAS,AP,31.816666666666666,2. ruim,-23.96666666666667
AP,1600253,ITAUBAL,UNIÃO,15.68,06041,ITAUBAL,AP,36.068888888888885,2. ruim,-20.388888888888886
AP,1600204,CALÇOENE,PSD,23.02,06033,CALCOENE,AP,29.721111111111114,2. ruim,-6.701111111111114
AP,1600550,PRACUÚBA,UNIÃO,15.68,06009,PRACUUBA,AP,14.786666666666667,1. péssimo,0.8933333333333326
AP,1600402,MAZAGÃO,UNIÃO,15.68,06076,MAZAGAO,AP,35.192727272727275,2. ruim,-19.512727272727275
AP,1600154,PEDRA BRANCA DO AMAPARI,UNIÃO,15.68,06084,PEDRA BRANCA DO AMAPARI,AP,21.843333333333334,1. péssimo,-6.163333333333334
AP,1600501,OIAPOQUE,PP,16.94,06092,OIAPOQUE,AP,31.00181818181818,2. ruim,-14.061818181818179
AP,1600808,VITÓRIA DO JARI,UNIÃO,15.68,06122,VITORIA DO JARI,AP,21.142222222222223,1. péssimo,-5.462222222222223
AP,1600600,SANTANA,PP,16.94,06157,SANTANA,AP,32.909333333333336,2. ruim,-15.969333333333335
AP,1600303,MACAPÁ,MDB,17.41,06050,MACAPA,AP,33.60739130434783,2. ruim,-16.19739130434783
AP,1600535,PORTO GRANDE,MDB,17.41,06025,PORTO GRANDE,AP,31.424545454545456,2. ruim,-14.014545454545456
AP,1600279,LARANJAL DO JARI,UNIÃO,15.68,06130,LARANJAL DO JARI,AP,37.34230769230769,2. ruim,-21.662307692307692
AP,1600238,FERREIRA GOMES,UNIÃO,15.68,06114,FERREIRA GOMES,AP,22.885555555555555,1. péssimo,-7.205555555555556
AP,1600105,AMAPÁ,UNIÃO,15.68,06017,AMAPA,AP,34.64222222222222,2. ruim,-18.962222222222223
AP,1600709,TARTARUGALZINHO,UNIÃO,15.68,06173,TARTARUGALZINHO,AP,20.06888888888889,1. péssimo,-4.388888888888889
MA,2101806,BENEDITO LEITE,REPUBLICANOS,14.1,07358,BENEDITO LEITE,MA,42.946666666666665,2. ruim,-28.846666666666664
MA,2103257,CIDELÂNDIA,PSB,60.65,07480,CIDELANDIA,MA,37.40555555555556,2. ruim,23.24444444444444
MA,2102556,CAMPESTRE DO MARANHÃO,PSB,60.65,07382,CAMPESTRE DO MARANHAO,MA,31.232222222222223,2. ruim,29.417777777777776
MA,2100477,ALTO ALEGRE DO PINDARÉ,PP,16.94,07048,ALTO ALEGRE DO PINDARE,MA,29.88,2. ruim,-12.939999999999998
MA,2113009,VITORINO FREIRE,UNIÃO,15.68,09539,VITORINO FREIRE,MA,37.79461538461538,2. ruim,-22.114615384615384
MA,2106359,MARAJÁ DO SENA,PP,16.94,07900,MARAJA DO SENA,MA,20.317777777777778,1. péssimo,-3.3777777777777764
MA,2112407,TURIAÇU,REPUBLICANOS,14.1,09415,TURIACU,MA,36.44307692307692,2. ruim,-22.34307692307692
MA,2102036,BOM JESUS DAS SELVAS,PSB,60.65,07269,BOM JESUS DAS SELVAS,MA,44.84090909090909,2. ruim,15.809090909090905
MA,2105807,LAGO DO JUNCO,PSB,60.65,08150,LAGO DO JUNCO,MA,54.92444444444445,3. regular,5.725555555555552
MA,2110039,SANTA LUZIA DO PARUÁ,PL,7.85,09652,SANTA LUZIA DO PARUA,MA,36.89181818181818,2. ruim,-29.04181818181818
MA,2103158,CENTRO DO GUILHERME,PL,7.85,07447,CENTRO DO GUILHERME,MA,12.858888888888888,1. péssimo,-5.0088888888888885
MA,2101400,BALSAS,PRD,20.83,07277,BALSAS,MA,25.52294117647059,2. ruim,-4.69294117647059
MA,2110005,SANTA LUZIA,PRD,20.83,08974,SANTA LUZIA,MA,16.011333333333333,1. péssimo,4.818666666666665
MA,2106706,MIRADOR,UNIÃO,15.68,08338,MIRADOR,MA,30.505,2. ruim,-14.825
MA,2104206,FORTUNA,PDT,56.75,07811,FORTUNA,MA,34.52272727272727,2. ruim,22.227272727272727
MA,2103554,CONCEIÇÃO DO LAGO-AÇU,PL,7.85,07501,CONCEICAO DO LAGO-ACU,MA,20.063333333333333,1. péssimo,-12.213333333333333
MA,2100956,ARAME,UNIÃO,15.68,09679,ARAME,MA,23.46181818181818,1. péssimo,-7.781818181818181
MA,2102374,CACHOEIRA GRANDE,PL,7.85,07226,CACHOEIRA GRANDE,MA,33.08,2. ruim,-25.229999999999997
MA,2102804,CAROLINA,PSDB,15.21,07536,CAROLINA,MA,40.50545454545455,2. ruim,-25.295454545454547
MA,2112308,TUNTUM,PDT,56.75,09393,TUNTUM,MA,39.57769230769231,2. ruim,17.17230769230769
MA,2107001,MONTES ALTOS,UNIÃO,15.68,08397,MONTES ALTOS,MA,17.20111111111111,1. péssimo,-1.5211111111111109
MA,2105989,LAJEADO NOVO,REPUBLICANOS,14.1,07862,LAJEADO NOVO,MA,15.205555555555556,1. péssimo,-1.105555555555556
MA,2100832,APICUM-AÇU,PL,7.85,07064,APICUM-ACU,MA,21.668,1. péssimo,-13.818
MA,2108108,PAULO RAMOS,PP,16.94,09598,PAULO RAMOS,MA,24.532727272727275,1. péssimo,-7.592727272727274
MA,2104099,FORMOSA DA SERRA NEGRA,PSDB,15.21,07560,FORMOSA DA SERRA NEGRA,MA,15.112727272727273,1. péssimo,0.09727272727272762
MA,2112233,TRIZIDELA DO VALE,PDT,56.75,08567,TRIZIDELA DO VALE,MA,41.48909090909091,2. ruim,15.260909090909088
MA,2102002,BOM JARDIM,PL,7.85,09555,BOM JARDIM,MA,27.662307692307692,2. ruim,-19.81230769230769
MA,2104081,FERNANDO FALCÃO,PDT,56.75,07544,FERNANDO FALCAO,MA,47.903333333333336,2. ruim,8.846666666666664
MA,2104628,GOVERNADOR LUIZ ROCHA,MDB,17.41,07625,GOVERNADOR LUIZ ROCHA,MA,37.306666666666665,2. ruim,-19.896666666666665
MA,2109304,PRESIDENTE VARGAS,PSB,60.65,08834,PRESIDENTE VARGAS,MA,30.37666666666667,2. ruim,30.27333333333333
MA,2104701,GRAÇA ARANHA,UNIÃO,15.68,07919,GRACA ARANHA,MA,29.79,2. ruim,-14.11
MA,2101970,BOA VISTA DO GURUPI,PL,7.85,07323,BOA VISTA DO GURUPI,MA,34.44222222222222,2. ruim,-26.59222222222222
MA,2108504,PINDARÉ-MIRIM,MDB,17.41,08672,PINDARE-MIRIM,MA,36.49076923076923,2. ruim,-19.08076923076923
MA,2106003,LIMA CAMPOS,UNIÃO,15.68,08192,LIMA CAMPOS,MA,16.064444444444444,1. péssimo,-0.38444444444444414
MA,2108603,PINHEIRO,PODE,20.7,08699,PINHEIRO,MA,23.84125,1. péssimo,-3.1412499999999994
MA,2104107,FORTALEZA DOS NOGUEIRAS,REPUBLICANOS,14.1,07790,FORTALEZA DOS NOGUEIRAS,MA,18.497777777777777,1. péssimo,-4.397777777777778
MA,2102507,CAJARI,UNIÃO,15.68,07471,CAJARI,MA,26.12666666666667,2. ruim,-10.446666666666669
MA,2103802,DOM PEDRO,PSB,60.65,07730,DOM PEDRO,MA,49.16,2. ruim,11.490000000000002
MA,2108306,PENALVA,PP,16.94,08630,PENALVA,MA,15.653846153846155,1. péssimo,1.2861538461538462
MA,2101202,BACABAL,MDB,17.41,07234,BACABAL,MA,24.365882352941178,1. péssimo,-6.9558823529411775
MA,2109908,SANTA INÊS,PP,16.94,09571,SANTA INES,MA,25.384666666666668,2. ruim,-8.444666666666667
MA,2114007,ZÉ DOCA,PL,7.85,09717,ZE DOCA,MA,28.476666666666663,2. ruim,-20.626666666666665
MA,2104503,GOVERNADOR ARCHER,UNIÃO,15.68,07870,GOVERNADOR ARCHER,MA,36.23888888888889,2. ruim,-20.558888888888887
MA,2111805,SÍTIO NOVO,MDB,17.41,09296,SITIO NOVO,MA,35.29181818181818,2. ruim,-17.88181818181818
MA,2104651,GOVERNADOR NEWTON BELLO,MDB,17.41,07641,GOVERNADOR NEWTON BELLO,MA,19.514444444444443,1. péssimo,-2.104444444444443
MA,2108405,PERI MIRIM,MDB,17.41,08656,PERI MIRIM,MA,18.884444444444444,1. péssimo,-1.474444444444444
MA,2110708,SÃO DOMINGOS DO MARANHÃO,PP,16.94,09113,SAO DOMINGOS DO MARANHAO,MA,30.533846153846152,2. ruim,-13.593846153846151
MA,2110658,SÃO DOMINGOS DO AZEITÃO,PP,16.94,08265,SAO DOMINGOS DO AZEITAO,MA,21.107499999999998,1. péssimo,-4.167499999999997
MA,2107506,PAÇO DO LUMIAR,PSB,60.65,08494,PACO DO LUMIAR,MA,26.044117647058822,2. ruim,34.60588235294118
MA,2109106,PRESIDENTE DUTRA,MDB,17.41,08796,PRESIDENTE DUTRA,MA,26.653076923076924,2. ruim,-9.243076923076924
MA,2102358,BURITIRANA,MDB,17.41,07366,BURITIRANA,MA,16.41,1. péssimo,1
MA,2106805,MIRINZAL,MDB,17.41,08354,MIRINZAL,MA,34.26888888888889,2. ruim,-16.858888888888888
MA,2100501,ALTO PARNAÍBA,PSDB,15.21,07099,ALTO PARNAIBA,MA,17.13222222222222,1. péssimo,-1.9222222222222207
MA,2111508,SÃO MATEUS DO MARANHÃO,PSB,60.65,09237,SAO MATEUS DO MARANHAO,MA,43.97,2. ruim,16.68
MA,2107357,NOVA OLINDA DO MARANHÃO,PP,16.94,08001,NOVA OLINDA DO MARANHAO,MA,14.427272727272728,1. péssimo,2.5127272727272736
MA,2109452,RAPOSA,PL,7.85,08168,RAPOSA,MA,36.31666666666667,2. ruim,-28.46666666666667
MA,2105658,JUNCO DO MARANHÃO,MDB,17.41,07781,JUNCO DO MARANHAO,MA,57.43,3. regular,-40.019999999999996
MA,2106102,LORETO,REPUBLICANOS,14.1,08214,LORETO,MA,28.96222222222222,2. ruim,-14.86222222222222
MA,2104800,GRAJAÚ,PSDB,15.21,07935,GRAJAU,MA,19.75,1. péssimo,-4.539999999999999
MA,2103125,CENTRAL DO MARANHÃO,MDB,17.41,07420,CENTRAL DO MARANHAO,MA,34.09888888888889,2. ruim,-16.688888888888886
MA,2111409,SÃO LUÍS GONZAGA DO MARANHÃO,MDB,17.41,08052,SAO LUIS GONZAGA DO MARANHAO,MA,41.45,2. ruim,-24.040000000000003
MA,2111789,SERRANO DO MARANHÃO,PL,7.85,08524,SERRANO DO MARANHAO,MA,28.636666666666667,2. ruim,-20.78666666666667
MA,2109007,PORTO FRANCO,PSB,60.65,08770,PORTO FRANCO,MA,39.019090909090906,2. ruim,21.630909090909093
MA,2111250,SÃO JOSÉ DOS BASÍLIOS,MDB,17.41,08362,SAO JOSE DOS BASILIOS,MA,36.80222222222223,2. ruim,-19.392222222222227
MA,2106904,MONÇÃO,PL,7.85,08370,MONCAO,MA,22.185384615384617,1. péssimo,-14.335384615384617
MA,2101939,BERNARDO DO MEARIM,PDT,56.75,07200,BERNARDO DO MEARIM,MA,43.49333333333333,2. ruim,13.256666666666668
MA,2105427,ITINGA DO MARANHÃO,PP,16.94,07722,ITINGA DO MARANHAO,MA,25.60909090909091,2. ruim,-8.669090909090908
MA,2105104,ICATU,PSDB,15.21,07994,ICATU,MA,29.153636363636362,2. ruim,-13.943636363636362
MA,2107308,NOVA IORQUE,MDB,17.41,08451,NOVA IORQUE,MA,31.142222222222223,2. ruim,-13.732222222222223
MA,2101350,BACURITUBA,MDB,17.41,07145,BACURITUBA,MA,32.63111111111111,2. ruim,-15.22111111111111
MA,2111078,SÃO JOÃO DO SOTER,PSB,60.65,08346,SAO JOAO DO SOTER,MA,52.62,3. regular,8.030000000000001
MA,2105450,JATOBÁ,UNIÃO,15.68,07749,JATOBA,MA,21.48111111111111,1. péssimo,-5.801111111111112
MA,2101608,BARRA DO CORDA,MDB,17.41,07315,BARRA DO CORDA,MA,27.924705882352942,2. ruim,-10.514705882352942
MA,2106375,MARANHÃOZINHO,PL,7.85,07927,MARANHAOZINHO,MA,15.06111111111111,1. péssimo,-7.21111111111111
MA,2104008,ESPERANTINÓPOLIS,UNIÃO,15.68,07773,ESPERANTINOPOLIS,MA,24.578181818181818,1. péssimo,-8.898181818181818
MA,2102325,BURITICUPU,PP,16.94,07340,BURITICUPU,MA,22.573333333333334,1. péssimo,-5.633333333333333
MA,2109809,SANTA HELENA,MDB,17.41,08958,SANTA HELENA,MA,15.543846153846154,1. péssimo,1.8661538461538463
MA,2108702,PIO XII,PL,7.85,08710,PIO XII,MA,30.39818181818182,2. ruim,-22.548181818181817
MA,2108207,PEDREIRAS,UNIÃO,15.68,08613,PEDREIRAS,MA,31.81153846153846,2. ruim,-16.13153846153846
MA,2111003,SÃO JOÃO BATISTA,REPUBLICANOS,14.1,09172,SAO JOAO BATISTA,MA,26.982222222222223,2. ruim,-12.882222222222223
MA,2105963,LAGOA GRANDE DO MARANHÃO,PSB,60.65,07846,LAGOA GRANDE DO MARANHAO,MA,41.94777777777777,2. ruim,18.702222222222225
MA,2100204,ALCÂNTARA,PSB,60.65,07030,ALCANTARA,MA,40.85818181818182,2. ruim,19.79181818181818
MA,2112274,TUFILÂNDIA,PP,16.94,08583,TUFILANDIA,MA,36.471111111111114,2. ruim,-19.531111111111112
MA,2111573,SÃO PEDRO DOS CRENTES,REPUBLICANOS,14.1,08400,SAO PEDRO DOS CRENTES,MA,13.035555555555556,1. péssimo,1.0644444444444439
MA,2101301,BACURI,PL,7.85,07250,BACURI,MA,27.405454545454543,2. ruim,-19.555454545454545
MA,2103505,COLINAS,MDB,17.41,07676,COLINAS,MA,39.95,2. ruim,-22.540000000000003
MA,2111672,SÃO ROBERTO,UNIÃO,15.68,08443,SAO ROBERTO,MA,36.81111111111111,2. ruim,-21.13111111111111
MA,2108454,PERITORÓ,PP,16.94,08087,PERITORO,MA,28.202727272727273,2. ruim,-11.262727272727272
MA,2109205,PRESIDENTE JUSCELINO,PL,7.85,08818,PRESIDENTE JUSCELINO,MA,23.21333333333333,1. péssimo,-15.363333333333332
MA,2109056,PORTO RICO DO MARANHÃO,PL,7.85,08109,PORTO RICO DO MARANHAO,MA,19.485555555555553,1. péssimo,-11.635555555555554
MA,2105476,JENIPAPO DOS VIEIRAS,PDT,56.75,07765,JENIPAPO DOS VIEIRAS,MA,38.553636363636365,2. ruim,18.196363636363635
MA,2104057,ESTREITO,PL,7.85,09636,ESTREITO,MA,23.515384615384615,1. péssimo,-15.665384615384616
MA,2111300,SÃO LUÍS,PSD,23.02,09210,SAO LUIS,MA,33.90354838709678,2. ruim,-10.883548387096777
MA,2110807,SÃO FÉLIX DE BALSAS,PRD,20.83,09130,SAO FELIX DE BALSAS,MA,50.30888888888889,3. regular,-29.47888888888889
MA,2107456,OLINDA NOVA DO MARANHÃO,MOBILIZA,NA,08028,OLINDA NOVA DO MARANHAO,MA,34.57666666666667,2. ruim,NA
MA,2104677,GOVERNADOR NUNES FREIRE,PL,7.85,07668,GOVERNADOR NUNES FREIRE,MA,27.746363636363636,2. ruim,-19.89636363636364
MA,2111706,SÃO VICENTE FERRER,UNIÃO,15.68,09270,SAO VICENTE FERRER,MA,44.278888888888886,2. ruim,-28.598888888888887
MA,2111201,SÃO JOSÉ DE RIBAMAR,PODE,20.7,08893,SAO JOSE DE RIBAMAR,MA,27.07,2. ruim,-6.370000000000001
MA,2102754,CAPINZAL DO NORTE,REPUBLICANOS,14.1,07404,CAPINZAL DO NORTE,MA,34.53111111111111,2. ruim,-20.431111111111107
MA,2101103,AXIXÁ,MDB,17.41,07218,AXIXA,MA,39.964999999999996,2. ruim,-22.554999999999996
MA,2100055,AÇAILÂNDIA,UNIÃO,15.68,09610,ACAILANDIA,MA,19.565625,1. péssimo,-3.885625000000001
MA,2105948,LAGO DOS RODRIGUES,PSB,60.65,07803,LAGO DOS RODRIGUES,MA,52.49333333333333,3. regular,8.156666666666666
MA,2106508,MATINHA,PRD,20.83,08290,MATINHA,MA,37.45363636363636,2. ruim,-16.623636363636365
MA,2111904,SUCUPIRA DO NORTE,MDB,17.41,09318,SUCUPIRA DO NORTE,MA,48.865,2. ruim,-31.455000000000002
MA,2102408,CAJAPIÓ,PSB,60.65,07455,CAJAPIO,MA,25.217777777777776,2. ruim,35.43222222222222
MA,2103109,CEDRAL,PSB,60.65,07595,CEDRAL,MA,40.09111111111111,2. ruim,20.558888888888887
MA,2102309,BURITI BRAVO,MDB,17.41,07439,BURITI BRAVO,MA,45.041818181818186,2. ruim,-27.631818181818186
MA,2105906,LAGO VERDE,PP,16.94,08176,LAGO VERDE,MA,24.556363636363635,1. péssimo,-7.616363636363634
MA,2100550,AMAPÁ DO MARANHÃO,PL,7.85,07080,AMAPA DO MARANHAO,MA,28.10222222222222,2. ruim,-20.252222222222223
MA,2109551,RIBAMAR FIQUENE,REPUBLICANOS,14.1,08184,RIBAMAR FIQUENE,MA,41.723333333333336,2. ruim,-27.623333333333335
