t,id_,Nombre / Name,Departamento / State,Municipio / Town,,Territorio / Territory,Tipo territorio / Territory type,Grupos étnicos / Ethnic groups,Estado / Status (Estándar),,,Duración (años) / Length (years),Periodo de acreditación / Credited period,Área proyecto / Project area (hectáreas),id_empresa_responsavel,Empresa Desarrolladora / Developing company,Estándar de certificación / Certification standard,Metodología / Methodology,Verificador/Verifying company,Año validación / Year validated,URL PDD,URL OVV informe/report,Website certificador,Website proyecto,Perfil / Profile,Perfil corregido,Georreferencia de los limites del proyecto,Latitude de la centroid del proyecto,Longitude de la centroid del proyecto,Amazonia,País,Bioma,Fuente 1 / Source 1,Fuente 2 / Source 2,Fuente 3 / Source 3,Fuente 4 / Source 4,Fuente 5 / Source 5,Fuente 6 / Source 6,Fuente 6 / Source 7,notas,notas,notas,notas,
BR4671VER,4671,TAUARI REDD+ Project ,Mato Grosso,"Aripuanã, Juína ",MT,Privado ,,,Registration requested,CAR,,30,2020-2050,21016,08.430.917/0001-38,Arthur Junqueira Ferreira Penteado ,Verra,VM0015,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=98302&IDKEY=u8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0f135558458,,Verra Search Page,,"O projeto tem como objetivo proteger 21.016. 3.8 hectares de floresta amazônica localizados nos municípios de Aripuanã e Juína (MT). O projeto promove a conservação da floresta e estima reduzir 1.908.218 tCO 2 e (média de 63.607 tCO 2 e/ano) em 30 anos por meio da implementação do desmatamento não planejado em quatro fazendas: Continental, União, Recanto do Sinuelo e Cachoeirinho.","Proyecto que gira en torno a 4 propiedades privadas, llamadas União, Continental, Recanto do Sinuelo y Cachoeirinha, en Mato Grosso. Es desarrollado por sus propietarios, Arthur Chiarotto Penteado, Arthur Junqueira Ferreira Penteado y Graziella Vicente Bisquolo Penteado y la empresa Fazenda Continental Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió """"hasta que se hayan resuelto todos los problemas o incertidumbres detectados"""".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96239&IDKEY=r097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn877132713581,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"Graziella Vicente Bisquolo Penteado aparece como proponente. Não existe CNPJ com este nome, mas ela é sócia de outras empresas ligadas aos demais proponentes. ","Com exceção da Carbonext, todos os proponentes são interligados por meio de sociedades com outras empresas e proprietários das terras. ",,,
BR4671VER,4671,TAUARI REDD+ Project ,Mato Grosso,"Aripuanã, Juína ",MT,Privado ,,,Registration requested,CAR,,30,2020-2050,21016,44.947.794/0001-70,Fazenda Continental Ltda,Verra,VM0015,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=98302&IDKEY=u8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0f135558458,,Verra Search Page,,"O projeto tem como objetivo proteger 21.016. 3.8 hectares de floresta amazônica localizados nos municípios de Aripuanã e Juína (MT). O projeto promove a conservação da floresta e estima reduzir 1.908.218 tCO 2 e (média de 63.607 tCO 2 e/ano) em 30 anos por meio da implementação do desmatamento não planejado em quatro fazendas: Continental, União, Recanto do Sinuelo e Cachoeirinho.","Proyecto que gira en torno a 4 propiedades privadas, llamadas União, Continental, Recanto do Sinuelo y Cachoeirinha, en Mato Grosso. Es desarrollado por sus propietarios, Arthur Chiarotto Penteado, Arthur Junqueira Ferreira Penteado y Graziella Vicente Bisquolo Penteado y la empresa Fazenda Continental Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió """"hasta que se hayan resuelto todos los problemas o incertidumbres detectados"""".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96239&IDKEY=r097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn877132713581,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"Graziella Vicente Bisquolo Penteado aparece como proponente. Não existe CNPJ com este nome, mas ela é sócia de outras empresas ligadas aos demais proponentes. ","Com exceção da Carbonext, todos os proponentes são interligados por meio de sociedades com outras empresas e proprietários das terras. ",,,
BR4633VER,4633,Fortaleza Ituxi II REDD+,Amazonas, Lábrea,AM,Privado ,,,Under development,CAR,,30,2020-2050,69185,23.831.247/0001-55,ITUXI ADMINISTRAÇÃO E PARTICIPAÇÃO LTDA,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=100909&IDKEY=0kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9098139153511,,Verra Search Page,,"O Projeto tem como objetivo proteger as florestas privadas localizadas em uma das regiões com maior taxa de desmatamento no Bioma Amazônico: o município de Lábrea. O objetivo principal  é evitar o desmatamento planejado (APD) e não planejado (AUD) em uma área de 69.185,87 ha de floresta amazônica.","Proyecto que gira en torno a la hacienda privadas Nossa Senhora das Cachoeiras do Ituxi, en Amazonas. Es desarrollado por su propietaria, la empresa Ituxi Administração e Participação Ltda, en alianza con la desarrolladora Pau Brasil Assessoria Florestal. En los documentos del proyecto también aparece Ricardo Villares Lot Stoppe como propietario. Aparecía en la plataforma de Verra como habiendo ""en desarrollo"" a mayo de 2025. Al menos tres proyectos ligados al empresario Ricardo Stoppe Jr., quien aparece como persona de contacto de Ituxi Administração e Participação, han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95556&IDKEY=k0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9f131771724,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,RICARDO VILLARES LOT STOPPE é ligado à Ituxi e dono de uma das terras. A Ituxi também aparece em outro projeto. ,,,,
BR4633VER,4633,Fortaleza Ituxi II REDD+,Amazonas, Lábrea,AM,Privado ,,,Under development,CAR,,30,2021-2051,69185,45.879.260/0001-17, Pau Brasil Assessoria Florestal,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=100909&IDKEY=0kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9098139153511,,Verra Search Page,,"O Projeto tem como objetivo proteger as florestas privadas localizadas em uma das regiões com maior taxa de desmatamento no Bioma Amazônico: o município de Lábrea. O objetivo principal  é evitar o desmatamento planejado (APD) e não planejado (AUD) em uma área de 69.185,87 ha de floresta amazônica.","Proyecto que gira en torno a la hacienda privadas Nossa Senhora das Cachoeiras do Ituxi, en Amazonas. Es desarrollado por su propietaria, la empresa Ituxi Administração e Participação Ltda, en alianza con la desarrolladora Pau Brasil Assessoria Florestal. En los documentos del proyecto también aparece Ricardo Villares Lot Stoppe como propietario. Aparecía en la plataforma de Verra como habiendo ""en desarrollo"" a mayo de 2025. Al menos tres proyectos ligados al empresario Ricardo Stoppe Jr., quien aparece como persona de contacto de Ituxi Administração e Participação, han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95556&IDKEY=k0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9f131771724,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,RICARDO VILLARES LOT STOPPE é ligado à Ituxi e dono de uma das terras. A Ituxi também aparece em outro projeto. ,,,,
BR4615VER,4615,PANÃMA REDD+ PROJECT,"Pará, Amapá","Almeirim, Laranjal do Jari","PA,AM",Não disponível,,,Rejected by Administrator,,,40,2022-2061,205000,09.720.550/0001-50,Biofílica Ambipar Environment Investments,Verra,VM0048,Não disponível,N/A,Não disponível,,Verra Search Page,,"O projeto é uma parceria entre a Biofílica, a Fundação Jari e a Jari Celulose, com o objetivo de promover a conservação da floresta e reduzir as emissões potenciais de gases de efeito estufa (GEE) com base em um modelo de desenvolvimento econômico local que valoriza a ""floresta em pé"" por meio da integração de atividades de Manejo Florestal Sustentável e da comercialização de serviços ambientais. ","Proyecto en Amapá y Pará. Es desarrollado por la empresa Jari Celulose S.A., la Fundação Jari y la desarrolladora Biofílica Ambipar Environmental Investments S.A., una de las mayores de Brasil. No apareece documento de diseño de proyecto (PDD) en la plataforma de la certificadora Verra. Aparecía en la plataforma de Verra como ""rechazado"" a mayo de 2025. ",,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,,,,,Projeto rejeitado pela Verra. Não  há informações sobre o território como geolocalização ou quem são os proprietários.,As proponentes são as mesmas deste projeto denunciado pelo De Olho nos Ruralistas,Várias empresas do Grupo Jari e ligadas aos seus sócios estão em recuperação judicial e com dívida na União,,
BR4615VER,4615,PANÃMA REDD+ PROJECT,"Pará, Amapá","Almeirim, Laranjal do Jari","PA,AM",Não disponível,,,Rejected by Administrator,,,40,2022-2061,205000,74.502.550/0001-45,Fundação Jari,Verra,VM0048,Não disponível,N/A,Não disponível,,Verra Search Page,,"O projeto é uma parceria entre a Biofílica, a Fundação Jari e a Jari Celulose, com o objetivo de promover a conservação da floresta e reduzir as emissões potenciais de gases de efeito estufa (GEE) com base em um modelo de desenvolvimento econômico local que valoriza a ""floresta em pé"" por meio da integração de atividades de Manejo Florestal Sustentável e da comercialização de serviços ambientais. ","Proyecto en Amapá y Pará. Es desarrollado por la empresa Jari Celulose S.A., la Fundação Jari y la desarrolladora Biofílica Ambipar Environmental Investments S.A., una de las mayores de Brasil. No apareece documento de diseño de proyecto (PDD) en la plataforma de la certificadora Verra. Aparecía en la plataforma de Verra como ""rechazado"" a mayo de 2025. ",,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,,,,,Projeto rejeitado pela Verra. Não  há informações sobre o território como geolocalização ou quem são os proprietários.,As proponentes são as mesmas deste projeto denunciado pelo De Olho nos Ruralistas,Várias empresas do Grupo Jari e ligadas aos seus sócios estão em recuperação judicial e com dívida na União,,
BR4615VER,4615,PANÃMA REDD+ PROJECT,"Pará, Amapá","Almeirim, Laranjal do Jari","PA,AM",Não disponível,,,Rejected by Administrator,,,40,2022-2061,205000,17.919.786/0001-48,GRUPO JARI S.A EM RECUPERACAO JUDICIAL,Verra,VM0048,Não disponível,N/A,Não disponível,,Verra Search Page,,"O projeto é uma parceria entre a Biofílica, a Fundação Jari e a Jari Celulose, com o objetivo de promover a conservação da floresta e reduzir as emissões potenciais de gases de efeito estufa (GEE) com base em um modelo de desenvolvimento econômico local que valoriza a ""floresta em pé"" por meio da integração de atividades de Manejo Florestal Sustentável e da comercialização de serviços ambientais. ","Proyecto en Amapá y Pará. Es desarrollado por la empresa Jari Celulose S.A., la Fundação Jari y la desarrolladora Biofílica Ambipar Environmental Investments S.A., una de las mayores de Brasil. No apareece documento de diseño de proyecto (PDD) en la plataforma de la certificadora Verra. Aparecía en la plataforma de Verra como ""rechazado"" a mayo de 2025.  Puede tener relación con el proyecto Jari/Pará REDD+ Project que involucra a los mismos actores y fue registrado por la certificadora Verra en 2020. ",,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,,,,,Projeto rejeitado pela Verra. Não  há informações sobre o território como geolocalização ou quem são os proprietários.,As proponentes são as mesmas deste projeto denunciado pelo De Olho nos Ruralistas,Várias empresas do Grupo Jari e ligadas aos seus sócios estão em recuperação judicial e com dívida na União,,
BR4552VER,4552,Uákiry REDD+ AUDD Grouped Project,Acre,"Sena Madureira, Rio Branco",AC,Privado ,,,Under validation and verification,,,100,2021-2121,84220,39.693.526/0001-30,BRCarbon Serviços Ambientais LTDA,Verra,VM0015,EcoLance Private Limited,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96946&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3v133688534,,Verra Search Page,https://brcarbon.com.br/uakiry/,"A primeira instância de atividade dos quatro projetos é composta por quatro propriedades com 84.220 ha de cobertura florestal, localizadas nas margens do rio Iaco, um dos afluentes do rio Purus, na bacia amazônica. Serão promovidas ações de conservação integral da floresta, gerando co-benefícios para as comunidades locais.","Proyecto que gira en torno a los seringales Porongaba, Palmares, Potiguar y Katianã, en Acre. Es desarrollado por la desarrolladora BRCARBON Serviços Ambientais Ltda en alianza con Yaco2 Gestão e Comércio de Carbono Ltda. El documento de diseño de proyecto (PDD) no detalla quiénes son los propietarios. Aparecía en la plataforma de Verra como habiendo ""en validación"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=93503&IDKEY=J0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9u128940637,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR4552VER,4552,Uákiry REDD+ AUDD Grouped Project,Acre,"Sena Madureira, Rio Branco",AC,Privado ,,,Under validation and verification,,,100,2021-2121,84220,46.831.892/0001-73,Yaco2 Gestão e Comércio de Carbono LTDA,Verra,VM0015,EcoLance Private Limited,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96946&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3v133688534,,Verra Search Page,https://brcarbon.com.br/uakiry/,"A primeira instância de atividade dos quatro projetos é composta por quatro propriedades com 84.220 ha de cobertura florestal, localizadas nas margens do rio Iaco, um dos afluentes do rio Purus, na bacia amazônica. Serão promovidas ações de conservação integral da floresta, gerando co-benefícios para as comunidades locais.","Proyecto que gira en torno a los seringales Porongaba, Palmares, Potiguar y Katianã, en Acre. Es desarrollado por la desarrolladora BRCARBON Serviços Ambientais Ltda en alianza con Yaco2 Gestão e Comércio de Carbono Ltda. El documento de diseño de proyecto (PDD) no detalla quiénes son los propietarios. Aparecía en la plataforma de Verra como habiendo ""en validación"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=93503&IDKEY=J0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9u128940637,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR4542VER,4542,Amazônidas REDD+ AUDD Grouped Project ,Amazonas,"Itacoatiara, Manacapuru, Lábrea, Eirunepé, Manicoré, Parintins, Manaus, Lábrea",AM,Privado ,,,Withdrawn,,,100,2019-2119,251706,39.693.526/0001-30,BRCarbon Serviços Ambientais LTDA,Verra," VM0015, VM00XX",EcoLance Private Limited,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=112625&IDKEY=k903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfs155309875,,Verra Search Page,Projeto Amazônidas - BRCarbon,"As ações são complementares aos projetos agrupados desenvolvidos pela BrCarbon. São ações de conservação florestal integral em propriedades rurais com remanescentes de vegetação, que buscam promover soluções baseadas na natureza em suas regiões de influência, gerando co-benefícios não apenas para o clima, mas também para as comunidades e a biodiversidade local.","Proyecto que gira en torno a 35 propiedades privadas en Amazonas. Es desarrollado por la propietaria, la empress Mil Madeiras Preciosas Ltda, que es subsidiaria del grupo suizo Precious Woods, en alianza con la desarrolladora BRCARBON Serviços Ambientais Ltda. Aparecía en la plataforma de Verra como ""retirado"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=93302&IDKEY=fkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909k128663458,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR4542VER,4542,Amazônidas REDD+ AUDD Grouped Project ,Amazonas,"Itacoatiara, Manacapuru, Lábrea, Eirunepé, Manicoré, Parintins, Manaus, Lábrea",AM,Privado ,,,Withdrawn,,,100,2019-2119,251706,04.193.033/0001-56,Mil Madeiras Preciosas LTDA,Verra," VM0015, VM00XX",EcoLance Private Limited,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=112625&IDKEY=k903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfs155309875,,Verra Search Page,Projeto Amazônidas - BRCarbon,"As ações são complementares aos projetos agrupados desenvolvidos pela BrCarbon. São ações de conservação florestal integral em propriedades rurais com remanescentes de vegetação, que buscam promover soluções baseadas na natureza em suas regiões de influência, gerando co-benefícios não apenas para o clima, mas também para as comunidades e a biodiversidade local.","Proyecto que gira en torno a 35 propiedades privadas en Amazonas. Es desarrollado por la propietaria, la empress Mil Madeiras Preciosas Ltda, que es subsidiaria del grupo suizo Precious Woods, en alianza con la desarrolladora BRCARBON Serviços Ambientais Ltda. Aparecía en la plataforma de Verra como ""retirado"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=93302&IDKEY=fkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909k128663458,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,Reportagem na Piauí,,,A Mil Madeiras já foi denunciada por derrubar árvores ilegalmente,,,,
BR4497VER,4497,Amazon Partners 20,Acre,Porto Walter,AC,Indigena ,Terra Indígena Arara do Igarapé Humaitá,Arara do Acre,Under validation,Portaria Declaratória do Ministro da Justiça,1.761,30,2023-2053,76550,52.356.116/0001-61,Amazon Partners 20 LLC,Verra,VM0015,Aster Global Environmental Solutions Inc.,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=94011&IDKEY=n903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfd129641169,,Verra Search Page,,"O desenvolvimento do Projeto Integrado Parceiros da Amazônia 20 prevê o engajamento social para criar uma base de apoio que garanta a preservação da floresta. Promete aumento da renda familiar com a produção e comercialização de óleos vegetais e biojoias, melhoria da segurança alimentar, aumento de renda com projeto de turismo ecológico, resgate da linguagem oral e escrita do Povo Shawãdawa, fortalecimento da governança e promover o fortalecimento do povo para os processos de manutenção, monitoramento da cobertura florestal e uso dos recursos naturais na área do Projeto.","Proyecto que gira en torno a la Terra Indígena Arara do Igarapé Humaitá en Acre. Es desarrollado por la Associação do Povo Shawadawa do Igarapé Humaitá, (APSIH), en alianza con la desarrolladora estadounidense Amazon Partners 20 LLC. La empresa Infrapar Sustainability Ltda figura en documentos de proyecto como consultora. Aparecía en la plataforma de Verra como ""en validación"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=91687&IDKEY=dq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhs126436373,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,ISA,https://www.asterglobal.com/,,,,,,
BR4497VER,4497,Amazon Partners 20,Acre,Porto Walter,AC,Indigena ,Terra Indígena Arara do Igarapé Humaitá,Arara do Acre,Under validation,Portaria Declaratória do Ministro da Justiça,1.761,30,2023-2053,76550,47.457.033/0001-29,Infrapar Sustainability Ltda. ,Verra,VM0015,Aster Global Environmental Solutions Inc.,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=94011&IDKEY=n903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfd129641169,,Verra Search Page,,"O desenvolvimento do Projeto Integrado Parceiros da Amazônia 20 prevê o engajamento social para criar uma base de apoio que garanta a preservação da floresta. Promete aumento da renda familiar com a produção e comercialização de óleos vegetais e biojoias, melhoria da segurança alimentar, aumento de renda com projeto de turismo ecológico, resgate da linguagem oral e escrita do Povo Shawãdawa, fortalecimento da governança e promover o fortalecimento do povo para os processos de manutenção, monitoramento da cobertura florestal e uso dos recursos naturais na área do Projeto.","Proyecto que gira en torno a la Terra Indígena Arara do Igarapé Humaitá en Acre. Es desarrollado por la Associação do Povo Shawadawa do Igarapé Humaitá, (APSIH), en alianza con la desarrolladora estadounidense Amazon Partners 20 LLC. La empresa Infrapar Sustainability Ltda figura en documentos de proyecto como consultora. Aparecía en la plataforma de Verra como ""en validación"" a mayo de 2025. ",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=91687&IDKEY=dq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhs126436373,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,ISA,https://www.asterglobal.com/,,O endereço da empresa não é o mesmo no documento do projeto e na Receita Federal,,,,
BR4485VER,4485,Mejuruá Project,Amazonas,"Juruá, Jutaí, Carauari",AM,Privado ,,,Registration request denied,,,30,2021-2051,674361,04.310.918/0001-98,BR ARBO Gestão Florestal ,Verra,VM0007,EPIC Sustainability Services Private Limited,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=93182&IDKEY=2iquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfd128497978,,Verra Search Page,https://www.mejurua.com/,"A obtenção de benefícios climáticos será realizada por meio de um compromisso com a preservação da área florestal dentro da propriedade, juntamente com atividades voltadas para a proteção e o monitoramento da floresta. O projeto dará ênfase iniciativas sociais destinadas a aprimorar a educação, saúde, bem-estar financeiro e qualidade de vida em geral, abrangendo: estabelecimento de uma serraria próxima ao centro urbano de Carauari, promovendo a criação de empregos, produção e distribuição de energia sustentável para a cidade, instalação de antenas e equipamentos de internet e implementação de tratamento de água, e concessão gradual de títulos de propriedade a moradores ribeirinhos com treinamento especializado para proteção florestal, entre outras. ","Proyecto que gira en torno a una propiedad privada en Amazonas. Es desarrollado por la propietaria, la empresa BR ARBO Gestão Florestal S.A., en alianza con la desarrolladora Plant Inteligência Ambiental. También figuran en documentos de proyecto las empresas ATA Consultoria em Sustentabilidade y Gibbi s.r.l. de Italia como consultoras. El documento de diseño de proyecto (PDD) señala que la propiedad traslapa en la parte norte con una tierra indígena aún sin demarcar y que esa área ha sido excluida del proyecto. Aparecía en la plataforma de Verra como con ""registro denegado"" a mayo de 2025. En una carta de abril de 2025, Verra señala que el motivo es que el auditor, EPIC Sustainability Services Private Limited, ""no ha evaluado adecuadamente la conformidad del proyecto con las normas del programa VCS"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=91454&IDKEY=ciquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfm126115066,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,A BR ARBO Forest Management S.A. é uma empresa brasileira que detém mais de 900.000 hectares de terras no estado do Amazonas,A empresa que é dona da área e desenvolvedora do projeto está prometendo desenvolvimento à comunidade urbana do município. ,Duas terras indígenas são adjacentes à área do projeto:  TI Rio Biá e TI Riozinho,,
BR4461VER,4461,REDD+ Tauari Forest Conservation Project,Acre,Tarauacá,AC,Privado ,,,Under validation,Cartório de Registro de Imóveis da região de Tarauacá,,30,2022-2052,149328000,11.090.267/0001-33,Mata Nativa BR,Verra,VM0007,RINA S.p.A,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=97666&IDKEY=fiofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq34134681414,,Verra Search Page,,"A principal atividade realizada pelo proprietário da área é não fazer uso das licenças para exploração de madeireira emitidas pelo Instituto de Meio Ambiente do Acre (IMAC) de forma voluntária, descartando os planos de degradação e desmatamento de um total de 126.157,8211 ha de florestas tropicais. O objetivo é que, por meio dessa iniciativa, áreas que antes seriam fortes emissoras de dióxido de carbono (CO2), e que acabariam por tornar insustentável o equilíbrio do ecossistema e a preservação da biodiversidade, sejam preservadas e mantenham os estoques de carbono existentes. O documento também fala em projeto social para as comunidades locais. ","Proyecto que gira en torno a la propiedad privada Gleba Paranacre Parte A, propiedad de la empresa Samaúma Empreendimentos Imobiliários S.A., en Acre. Es desarrollado por las empresas Mata Nativa BR y MyCarbon3 Ltda. Su principal actividad, según el documento de diseño de proyecto (PDD), es ""no hacer uso de los permisos para la tala emitidos por el Instituto de Meio Ambiente do Acre (IMAC) de manera voluntaria"". Aparecía en la plataforma de Verra como ""en validación"" a mayo de 2025.",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=90950&IDKEY=diquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfs125420050,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"A propriedade é adjacente à TI Rio Gregório, dos povos Katukina,Yawanawá",O projeto fala em trabalho social com as comunidades locais,,,
