rio,estacao,data,cota_atual,data_da_minima,cota_minima,relacao_cota_atual,data_ano,cota_periodo,relacao_cota_atual_ano,codigo
Negro,Manaus (Negro),2024-03-01,2227,2010-10-24,1363,864,2010-03-01,2310,-83,14990000
Amazonas,Parintins (Amazonas),2024-02-29,414,2010-10-24,-186,600,NA,519,-105,16350002
Acre,Rio Branco (Acre),2024-03-01,1722,2022-10-02,124,1598,2022-03-01,1190,532,13600002
Negro,S. G. C. (Negro),2024-03-01,533,1992-02-07,330,203,1992-03-01,573,-40,14320001
Solimões,Tabatinga (Solimões),2024-03-01,1040,2010-10-11,-86,1126,2010-03-01,959,81,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-03-01,235,1980-03-13,28,207,1980-03-01,93,142,14400000
Negro,Barcelos (Negro),2024-02-28,6,1980-03-18,58,-52,1980-02-28,127,-121,14480002
Purus,Beruri (Purus),2024-02-23,1500,2010-10-25,518,982,2010-02-23,1549,-49,13990000
Branco,Boa Vista (Branco),2024-02-23,-5,2016-02-14,-57,52,2016-02-23,-28,23,14620000
Branco,Caracaraí (Branco),2024-02-23,56,1998-03-24,-10,66,1998-02-23,73,-17,14710000
P. Careiro,Careiro (P. Careiro),2024-02-23,973,2010-10-25,125,848,2010-02-23,1076,-103,15040000
Solimões,Fonte Boa (Solimões),2024-02-23,1878,2010-10-17,802,1076,2010-02-23,1851,27,12351000
Madeira,Humaitá (Madeira),2024-02-23,1937,1969-10-01,833,1104,1969-02-23,1975,-38,15630000
Amazonas,Itacoatiara (Amazonas),2024-02-23,861,2010-10-24,91,770,2010-02-23,977,-116,16030000
Solimões,Itapeuá (Solimões),2024-02-23,1182,2010-10-20,131,1051,2010-02-23,1172,10,13150000
Solimões,Manacapuru (Solimões),2024-02-23,1350,2010-10-26,392,958,2010-02-23,1349,1,14100000
Negro,Manaus (Negro),2024-02-23,2194,2010-10-24,1363,831,2010-02-23,2287,-93,14990000
Amazonas,Parintins (Amazonas),2024-02-23,405,2010-10-24,-186,591,2010-02-23,507,-102,16350002
Acre,Rio Branco (Acre),2024-02-22,920,2022-10-02,124,796,2022-02-22,1388,-468,13600002
Negro,S. G. C. (Negro),2024-02-22,696,1992-02-07,330,366,1992-02-21,378,318,14320001
Solimões,Tabatinga (Solimões),2024-02-23,1031,2010-10-11,-86,1117,2010-02-23,970,61,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-02-16,249,1980-03-13,28,221,1980-02-16,162,87,14400000
Negro,Barcelos (Negro),2024-02-16,250,1980-03-18,58,192,1980-02-16,184,66,14480002
Purus,Beruri (Purus),2024-02-15,1510,2010-10-25,518,992,2010-02-15,1514,-4,13990000
Branco,Boa Vista (Branco),2024-02-16,-1,2016-02-14,-57,56,2016-02-16,-24,23,14620000
Branco,Caracaraí (Branco),2024-02-16,66,1998-03-24,-10,76,1998-02-16,4,62,14710000
P. Careiro,Careiro (P. Careiro),2024-02-14,951,2010-10-25,125,826,2010-02-14,1036,-85,15040000
Solimões,Fonte Boa (Solimões),2024-02-16,1852,2010-10-17,802,1050,2010-02-16,1827,25,12351000
Madeira,Humaitá (Madeira),2024-02-16,1740,1969-10-01,833,907,1969-02-16,1941,-201,15630000
Amazonas,Itacoatiara (Amazonas),2024-02-16,842,2010-10-24,91,751,2010-02-16,957,-115,16030000
Solimões,Itapeuá (Solimões),2024-02-15,1164,2010-10-20,131,1033,2010-02-15,1127,37,13150000
Solimões,Manacapuru (Solimões),2024-02-16,1339,2010-10-26,392,947,2010-02-16,1322,17,14100000
Negro,Manaus (Negro),2024-02-16,2180,2010-10-24,1363,817,2010-02-16,2260,-80,14990000
Amazonas,Parintins (Amazonas),2024-02-15,376,2010-10-24,-186,562,2010-02-15,483,-107,16350002
Acre,Rio Branco (Acre),2024-02-15,706,2022-10-02,124,582,2022-02-15,1018,-312,13600002
Negro,S. G. C. (Negro),2024-02-15,638,1992-02-07,330,308,1992-02-15,392,246,14320001
Solimões,Tabatinga (Solimões),2024-02-16,984,2010-10-11,-86,1070,2010-02-16,976,8,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-02-16,249,1980-03-13,28,221,1980-02-16,162,87,14400000
Negro,Barcelos (Negro),2024-02-09,262,1980-03-18,58,204,1980-02-09,191,71,14480002
Purus,Beruri (Purus),2024-02-09,1492,2010-10-25,518,974,2010-02-09,1479,13,13990000
Branco,Boa Vista (Branco),2024-02-09,13,2016-02-14,-57,70,2016-02-09,-56,69,14620000
Branco,Caracaraí (Branco),2024-02-09,68,1998-03-24,-10,78,1998-02-09,8,60,14710000
P. Careiro,Careiro (P. Careiro),2024-02-08,932,2010-10-25,125,807,2010-02-08,1006,-74,15040000
Solimões,Fonte Boa (Solimões),2024-02-09,1858,2010-10-17,802,1056,2010-02-09,1773,85,12351000
Madeira,Humaitá (Madeira),2024-02-09,1818,1969-10-01,833,985,1969-02-09,1864,-46,15630000
Amazonas,Itacoatiara (Amazonas),2024-02-08,809,2010-10-24,91,718,2010-02-08,921,-112,16030000
Solimões,Itapeuá (Solimões),2024-02-09,1161,2010-10-20,131,1030,2010-02-09,1092,69,13150000
Solimões,Manacapuru (Solimões),2024-02-09,1319,2010-10-26,392,927,2010-02-09,1284,35,14100000
Negro,Manaus (Negro),2024-02-09,2157,2010-10-24,1363,794,2010-02-09,2222,-65,14990000
Amazonas,Parintins (Amazonas),2024-02-08,338,2010-10-24,-186,524,2010-02-08,455,-117,16350002
Acre,Rio Branco (Acre),2024-02-08,796,2022-10-02,124,672,2022-02-08,965,-169,13600002
Negro,S. G. C. (Negro),2024-02-08,535,1992-02-07,330,205,1992-02-06,332,203,14320001
Solimões,Tabatinga (Solimões),2024-02-09,938,2010-10-11,-86,1024,2010-02-09,905,33,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-02-09,226,1980-03-13,28,198,1980-02-09,208,18,14400000
Negro,Barcelos (Negro),2024-02-02,297,1980-03-18,58,239,1980-02-02,190,107,14480002
Purus,Beruri (Purus),2024-02-02,1474,2010-10-25,518,956,2010-02-02,1460,14,13990000
Branco,Boa Vista (Branco),2024-02-02,15,2016-02-14,-57,72,2016-02-02,-54,69,14620000
Branco,Caracaraí (Branco),2024-02-02,83,1998-03-24,-10,93,1998-02-02,16,67,14710000
P. Careiro,Careiro (P. Careiro),2024-01-30,893,2010-10-25,125,768,2010-01-30,967,-74,15040000
Solimões,Fonte Boa (Solimões),2024-02-02,1869,2010-10-17,802,1067,2010-02-02,1732,137,12351000
Madeira,Humaitá (Madeira),2024-02-02,1808,1969-10-01,833,975,1969-02-02,1904,-96,15630000
Amazonas,Itacoatiara (Amazonas),2024-02-02,778,2010-10-24,91,687,2010-02-02,886,-108,16030000
Solimões,Itapeuá (Solimões),2024-02-02,1160,2010-10-20,131,1029,2010-02-02,1084,76,13150000
Solimões,Manacapuru (Solimões),2024-02-02,1294,2010-10-26,392,902,2010-02-02,1252,42,14100000
Negro,Manaus (Negro),2024-02-02,2128,2010-10-24,1363,765,2010-02-02,2190,-62,14990000
Amazonas,Parintins (Amazonas),2024-02-02,313,2010-10-24,-186,499,2010-02-02,429,-116,16350002
Acre,Rio Branco (Acre),2024-01-24,825,2022-10-02,124,701,2022-01-24,654,171,13600002
Negro,S. G. C. (Negro),2024-01-24,609,1992-02-07,330,279,1992-01-30,419,190,14320001
Solimões,Tabatinga (Solimões),2024-02-02,957,2010-10-11,-86,1043,2010-02-02,810,147,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-02-02,274,1980-03-13,28,246,1980-02-02,199,75,14400000
Negro,Barcelos (Negro),2024-01-26,307,1980-03-18,58,249,1980-01-26,206,101,14480002
Purus,Beruri (Purus),2024-01-26,1443,2010-10-25,518,925,2010-01-26,1424,19,13990000
Branco,Boa Vista (Branco),2024-01-26,39,2016-02-14,-57,96,2016-01-26,-43,82,14620000
Branco,Caracaraí (Branco),2024-01-26,93,1998-03-24,-10,103,1998-01-26,25,68,14710000
P. Careiro,Careiro (P. Careiro),2024-01-25,872,2010-10-25,125,747,2010-01-25,955,-83,15040000
Solimões,Fonte Boa (Solimões),2024-01-26,1867,2010-10-17,802,1065,2010-01-26,1758,109,12351000
Madeira,Humaitá (Madeira),2024-01-26,1783,1969-10-01,833,950,1969-01-26,1897,-114,15630000
Amazonas,Itacoatiara (Amazonas),2024-01-26,740,2010-10-24,91,649,2010-01-26,848,-108,16030000
Solimões,Itapeuá (Solimões),2024-01-26,1148,2010-10-20,131,1017,2010-01-26,1095,53,13150000
Solimões,Manacapuru (Solimões),2024-01-26,1265,2010-10-26,392,873,2010-01-26,1221,44,14100000
Negro,Manaus (Negro),2024-01-26,2095,2010-10-24,1363,732,2010-01-26,2159,-64,14990000
Amazonas,Parintins (Amazonas),2024-01-25,289,2010-10-24,-186,475,2010-01-25,387,-98,16350002
Acre,Rio Branco (Acre),2024-01-24,825,2022-10-02,124,701,2022-01-24,654,171,13600002
Negro,S. G. C. (Negro),2024-01-24,656,1992-02-07,330,326,1992-01-22,583,73,14320001
Solimões,Tabatinga (Solimões),2024-01-26,947,2010-10-11,-86,1033,2010-01-26,795,152,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-01-26,310,1980-03-13,28,282,1980-01-26,195,115,14400000
Negro,Barcelos (Negro),2024-01-19,315,1980-03-18,58,257,1980-01-19,259,56,14480002
Purus,Beruri (Purus),2024-01-19,1405,2010-10-25,518,887,2010-01-19,1378,27,13990000
Branco,Boa Vista (Branco),2024-01-19,48,2016-02-14,-57,105,2016-01-19,-30,78,14620000
Branco,Caracaraí (Branco),2024-01-19,102,1998-03-24,-10,112,1998-01-19,44,58,14710000
P. Careiro,Careiro (P. Careiro),2024-01-17,831,2010-10-25,125,706,2010-01-17,928,-97,15040000
Solimões,Fonte Boa (Solimões),2024-01-01,1738,2010-10-17,802,936,2010-01-01,1813,-75,12351000
Madeira,Humaitá (Madeira),2024-01-19,1550,1969-10-01,833,717,1969-01-19,1832,-282,15630000
Amazonas,Itacoatiara (Amazonas),2024-01-19,712,2010-10-24,91,621,2010-01-19,813,-101,16030000
Solimões,Itapeuá (Solimões),2024-01-19,1127,2010-10-20,131,996,2010-01-19,1102,25,13150000
Solimões,Manacapuru (Solimões),2024-01-19,1230,2010-10-26,392,838,2010-01-19,1196,34,14100000
Negro,Manaus (Negro),2024-01-19,2065,2010-10-24,1363,702,2010-01-19,2134,-69,14990000
Amazonas,Parintins (Amazonas),2024-01-18,254,2010-10-24,-186,440,2010-01-18,353,-99,16350002
Acre,Rio Branco (Acre),2024-01-15,680,2022-10-02,124,556,2022-01-15,548,132,13600002
Negro,S. G. C. (Negro),2024-01-15,638,1992-02-07,330,308,1992-01-19,609,29,14320001
Solimões,Tabatinga (Solimões),2024-01-19,936,2010-10-11,-86,1022,2010-01-19,860,76,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-01-15,314,1980-03-13,28,286,1980-01-15,282,32,14400000
Negro,Barcelos (Negro),2024-01-12,347,1980-03-18,58,289,1980-01-12,295,52,14480002
Purus,Beruri (Purus),2024-01-12,1340,2010-10-25,518,822,2010-01-12,1342,-2,13990000
Branco,Boa Vista (Branco),2024-01-12,75,2016-02-14,-57,132,2016-01-12,-8,83,14620000
Branco,Caracaraí (Branco),2024-01-12,159,1998-03-24,-10,169,1998-01-12,63,96,14710000
P. Careiro,Careiro (P. Careiro),2024-01-10,749,2010-10-25,125,624,2010-01-10,897,-148,15040000
Solimões,Fonte Boa (Solimões),2024-01-01,1738,2010-10-17,802,936,2010-01-01,1813,-75,12351000
Madeira,Humaitá (Madeira),2024-01-12,1605,1969-10-01,833,772,1969-01-12,1775,-170,15630000
Amazonas,Itacoatiara (Amazonas),2024-01-12,643,2010-10-24,91,552,2010-01-12,780,-137,16030000
Solimões,Itapeuá (Solimões),2024-01-12,1075,2010-10-20,131,944,2010-01-12,1091,-16,13150000
Solimões,Manacapuru (Solimões),2024-01-12,1166,2010-10-26,392,774,2010-01-12,1166,0,14100000
Negro,Manaus (Negro),2024-01-12,1997,2010-10-24,1363,634,2010-01-12,2104,-107,14990000
Amazonas,Parintins (Amazonas),2024-01-11,192,2010-10-24,-186,378,2010-01-11,319,-127,16350002
Acre,Rio Branco (Acre),2024-01-10,1130,2022-10-02,124,1006,2022-01-10,651,479,13600002
Negro,S. G. C. (Negro),2024-01-10,628,1992-02-07,330,298,1992-01-12,632,-4,14320001
Solimões,Tabatinga (Solimões),2024-01-12,964,2010-10-11,-86,1050,2010-01-12,1002,-38,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-01-07,389,1980-03-13,28,361,1980-01-07,323,66,14400000
Negro,Barcelos (Negro),2024-01-05,341,1980-03-18,58,283,1980-01-05,309,32,14480002
Purus,Beruri (Purus),2024-01-05,1263,2010-10-25,518,745,2010-01-05,1325,-62,13990000
Branco,Boa Vista (Branco),2024-01-05,82,2016-02-14,-57,139,2016-01-05,16,66,14620000
Branco,Caracaraí (Branco),2024-01-05,129,1998-03-24,-10,139,1998-01-05,47,82,14710000
P. Careiro,Careiro (P. Careiro),2024-01-05,701,2010-10-25,125,576,2010-01-05,856,-155,15040000
Solimões,Fonte Boa (Solimões),2024-01-01,1738,2010-10-17,802,936,2010-01-01,1813,-75,12351000
Madeira,Humaitá (Madeira),2024-01-05,1506,1969-10-01,833,673,1969-01-05,1747,-241,15630000
Amazonas,Itacoatiara (Amazonas),2024-01-05,576,2010-10-24,91,485,2010-01-05,731,-155,16030000
Solimões,Itapeuá (Solimões),2024-01-05,1009,2010-10-20,131,878,2010-01-05,1050,-41,13150000
Solimões,Manacapuru (Solimões),2024-01-05,1096,2010-10-26,392,704,2010-01-05,1171,-75,14100000
Negro,Manaus (Negro),2024-01-05,1926,2010-10-24,1363,563,2010-01-05,2054,-128,14990000
Amazonas,Parintins (Amazonas),2024-01-04,138,2010-10-24,-186,324,2010-01-04,275,-137,16350002
Acre,Rio Branco (Acre),2024-01-01,765,2022-10-02,124,641,2022-01-01,1114,-349,13600002
Negro,S. G. C. (Negro),2024-01-01,722,1992-02-07,330,392,1992-01-05,562,160,14320001
Solimões,Tabatinga (Solimões),2024-01-05,964,2010-10-11,-86,1050,2010-01-05,1055,-91,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-01-02,382,1980-03-13,28,354,1980-01-02,326,56,14400000
